Año,Tipo.de.Delito,Incidencia
2015,Aborto,0
2015,Abuso de confianza,20
2015,Abuso sexual,10
2015,Acoso sexual,0
2015,Allanamiento de morada,30
2015,Amenazas,68
2015,Contra el medio ambiente,0
2015,Corrupción de menores,0
2015,Daño a la propiedad,61
2015,Delitos cometidos por servidores públicos,0
2015,Despojo,22
2015,Electorales,0
2015,Evasión de presos,0
2015,Extorsión,5
2015,Falsedad,10
2015,Falsificación,36
2015,Feminicidio,1
2015,Fraude,20
2015,Homicidio,82
2015,Hostigamiento sexual,0
2015,Incesto,0
2015,Incumplimiento de obligaciones de asistencia familiar,32
2015,Lesiones,135
2015,Narcomenudeo,173
2015,Otros delitos contra el patrimonio,0
2015,Otros delitos contra la familia,0
2015,Otros delitos contra la sociedad,0
2015,Otros delitos del Fuero Común,458
2015,Otros delitos que atentan contra la libertad personal,1
2015,Otros delitos que atentan contra la libertad y la seguridad sexual,2
2015,Otros delitos que atentan contra la vida y la integridad corporal,0
2015,Rapto,0
2015,Robo,685
2015,Secuestro,1
2015,Trata de personas,0
2015,Tráfico de menores,0
2015,Violación equiparada,0
2015,Violación simple,5
2015,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2015,Violencia familiar,200
2016,Aborto,0
2016,Abuso de confianza,20
2016,Abuso sexual,0
2016,Acoso sexual,0
2016,Allanamiento de morada,11
2016,Amenazas,82
2016,Contra el medio ambiente,0
2016,Corrupción de menores,0
2016,Daño a la propiedad,38
2016,Delitos cometidos por servidores públicos,0
2016,Despojo,25
2016,Electorales,0
2016,Evasión de presos,0
2016,Extorsión,19
2016,Falsedad,0
2016,Falsificación,15
2016,Feminicidio,10
2016,Fraude,9
2016,Homicidio,183
2016,Hostigamiento sexual,0
2016,Incesto,0
2016,Incumplimiento de obligaciones de asistencia familiar,6
2016,Lesiones,82
2016,Narcomenudeo,106
2016,Otros delitos contra el patrimonio,0
2016,Otros delitos contra la familia,0
2016,Otros delitos contra la sociedad,0
2016,Otros delitos del Fuero Común,552
2016,Otros delitos que atentan contra la libertad personal,1
2016,Otros delitos que atentan contra la libertad y la seguridad sexual,16
2016,Otros delitos que atentan contra la vida y la integridad corporal,0
2016,Rapto,0
2016,Robo,1265
2016,Secuestro,0
2016,Trata de personas,0
2016,Tráfico de menores,0
2016,Violación equiparada,0
2016,Violación simple,23
2016,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2016,Violencia familiar,30
2017,Aborto,2
2017,Abuso de confianza,135
2017,Abuso sexual,61
2017,Acoso sexual,0
2017,Allanamiento de morada,49
2017,Amenazas,572
2017,Contra el medio ambiente,0
2017,Corrupción de menores,4
2017,Daño a la propiedad,619
2017,Delitos cometidos por servidores públicos,0
2017,Despojo,136
2017,Electorales,0
2017,Evasión de presos,0
2017,Extorsión,6
2017,Falsedad,8
2017,Falsificación,6
2017,Feminicidio,3
2017,Fraude,318
2017,Homicidio,251
2017,Hostigamiento sexual,6
2017,Incesto,0
2017,Incumplimiento de obligaciones de asistencia familiar,146
2017,Lesiones,368
2017,Narcomenudeo,226
2017,Otros delitos contra el patrimonio,1
2017,Otros delitos contra la familia,32
2017,Otros delitos contra la sociedad,0
2017,Otros delitos del Fuero Común,272
2017,Otros delitos que atentan contra la libertad personal,24
2017,Otros delitos que atentan contra la libertad y la seguridad sexual,16
2017,Otros delitos que atentan contra la vida y la integridad corporal,0
2017,Rapto,0
2017,Robo,1678
2017,Secuestro,0
2017,Trata de personas,0
2017,Tráfico de menores,0
2017,Violación equiparada,2
2017,Violación simple,33
2017,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2017,Violencia familiar,661
2018,Aborto,0
2018,Abuso de confianza,169
